vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
11,6,The Healer's Sanctum,Soft blue light fills this domed room. Crystal formations pulse with restorative energy. A robed figure tends to the wounded.,4,18,,3,9,1,22,13,,,Soft blue light pulses gently from crystal formations nearby.,Faint murmurs of healing blend with distant market sounds.,Electric crackles hum softly from the western archway.,Perfect silence beckons from the southeast meditation room.
12,6,The Bulletin Board,"A large cork board dominates the wall here, covered in notices, bounties, and requests. Adventurers gather to read the latest postings.",16,5,2,,6,,1,8,,150,The cork board smells of aged paper and faintly spicy ink nearby.,Ghostly lights float upward through the pale archway just to the north.,Orange firelight flickers from the western archway to the south.,Distant echoes of gunfire mix with murmurs from the bustling bazaar southwest.
13,6,The Undercity Entrance,A heavy iron grate in the floor has been pried open. A ladder descends into darkness. The smell of damp stone and worse things rises from below.,,23,18,17,11,10,25,24,3,7001,"A heavy iron grate yawns open, revealing darkness below.",Damp stone smells rise faintly from the depths beneath.,Neon advertisements flicker with sharp blue-white sparks above.,Crystal light pulses softly from the domed room to the northeast.
14,6,Armorer's Workshop,The ring of hammer on anvil fills this smoky room. A stocky smith works at a forge that burns with supernatural heat.,8,21,10,,5,,17,,,,The steady ring of hammer on anvil fills the smoky air.,"A forge burns with unnatural heat, casting flickering shadows.",Distant market voices mingle with the metallic scent of iron.,Torchlight flickers quietly along the southwestern corridor.
15,6,The Observatory,A glass dome reveals the void between realms. Stars and distant worlds drift past. Telescopes of various designs point in every direction.,,9,,7,,19,,4,,8001,"Stars drift silently past the glass dome, distant and cold beyond sight.",Flickering scenes shimmer through the portal to the west with muted light.,Saxophone music drifts faintly from the rainy eastern archway to the southwest.,The hum of distant combat echoes softly from the training grounds below.
16,6,The Afterlife Gate,"A pale archway stands here, its surface like still water. Beyond it, ghostly lights drift upward. A sign reads: 'The Afterlife  -  For the Worthy and the Dead.'",,12,6,,20,,2,,9001,,The archway's surface ripples like still water in a silent breath.,"Ghostly lights rise beyond the pale gate, drifting slow and cold.",A robed figure checks a long list behind the golden gates above.,Faint echoes of golden light pulse from the northern archway nearby.
17,6,Nexus  -  Southwest Corridor,A quiet corridor connecting the training areas to the lower levels. Torches flicker in iron sconces.,10,24,13,21,3,14,23,,,,Torches flicker gently against iron sconces along the walls.,The smoky clang of hammer rings faintly from the northwest.,Electric crackles hum quietly from the northeastern archway.,Dust motes drift lazily in shafts of muted corridor light.
18,6,Nexus  -  Southeast Corridor,A corridor lined with memorial plaques. Names of fallen heroes are etched in silver.,11,25,22,13,,3,,23,,,Silver plaques gleam quietly in the soft corridor light.,Soft blue pulses from crystals drift faintly to the north.,Black still water ripples faintly in the southern well.,Electric crackles shimmer from the northwest gateway arch.
19,6,Nexus  -  Upper East,A balcony overlooks the central chamber from above. The view is dizzying.,,7,,6,,20,15,2,,,The dizzying view plunges beyond the balcony's edge to the northwest.,Golden light pulses faintly from the northern archway to the southwest.,Raindrops patter softly on the eastern archway a short distance south.,Stars drift quietly past the glass dome of the observatory to the southeast.
20,6,The Pinnacle,The highest point of the Nexus. A single chair faces outward into the void between worlds. Someone left a half-finished drink here.,,6,,,,,19,16,,,The half-finished drink catches a faint glow under the empty sky.,Ghostly lights drift upward through the pale archway to the southwest.,Floating islands shimmer distantly beyond the staircase to the south.,The dizzying void yawns wide beyond the balcony to the southeast.
21,6,Storage Cellar,Crates and barrels are stacked against the walls. Most are labeled with destinations that no longer exist.,14,,17,,10,,24,,,,"Dusty crates tower silently, bearing names of lost destinations.",The distant ring of hammer echoes faintly from above.,Torch flames flicker softly through the quiet connecting corridor.,Faint sounds of combat drift from the reinforced doorway.
22,6,The Quiet Room,A small meditation chamber. The walls absorb all sound. Perfect silence.,,,,18,,11,,25,,,"Perfect silence embraces this small, sound-absorbing chamber.",Soft blue light pulses faintly from the nearby domed room.,Black water ripples silently in the well to the southwest.,
23,6,Nexus  -  Deep Basement,"Below the main level. The walls here are older  -  rougher stone, no polish. Something was here before the Nexus was built.",13,,25,24,18,17,,,,,Rough stone walls close in beneath the polished upper halls.,Black water ripples faintly in the well to the east.,Dust and silence fill the forgotten rooms to the west.,Torch flames flicker softly from corridors high above.
24,6,Forgotten Storeroom,Dust covers everything. Crates marked with symbols no one remembers. A rat watches you from atop a barrel.,17,,23,,13,21,,,,,Dust thickly coats forgotten crates and aged barrels.,A rat watches silently from atop a cracked wooden barrel.,Torchlight flickers dimly through the quiet connecting corridor.,"Damp, musty air seeps in from the nearby dark undercity."
25,6,The Old Well,A stone well sits in the center of this room. The water is black and still. Sometimes it ripples when nothing has touched it.,18,,,23,22,13,,,,,"The water in the well is black and still, reflecting faint shadows.",A heavy iron grate nearby smells of damp earth and rusted iron.,"The silence here is deep, broken only by occasional unseen ripples.","From the southeast, faint echoes bounce off cold stone memorial plaques."
101,10,Training Tower  -  Ground Floor,"A wide stone chamber lit by torches. A weathered sign reads:

  'Welcome, newcomer. This tower will teach you to survive.'
  'Type ATTACK to fight. Type FLEE to escape. Type LOOK to observe.'

A straw training dummy stands in the corner. Stairs lead up.",,,,,,,,,102,10,Torches flicker against the cold stone walls.,A straw mat lies worn and flattened nearby.,Sounds of combat echo faintly from below.,
102,10,Training Tower  -  Second Floor,"The room is slightly darker. Scratching sounds come from the shadows.

  Tip: After defeating an enemy, check your STATUS to see your power grow.
  Type STATUS to view your stats.",,,,,,,,,103,101,Shadows twist in the dim light above the ground floor.,Soft scratching sounds ripple from the darker corners.,The air here feels cooler than the chamber below.,
103,10,Training Tower  -  Third Floor,"Cobwebs stretch across the ceiling. Something skitters above.

  Tip: You can TAKE items from rooms and USE consumables to heal.
  Type INVENTORY to see what you're carrying.",,,,,,,,,104,102,Cobwebs cling thickly to the ceiling overhead.,Something skitters silently just above the ceiling beams.,The faint scent of dust and old stone lingers here.,
104,10,Training Tower  -  Fourth Floor,"A small armory. Weapon racks line the walls, mostly empty.

  Tip: WEAR equipment to boost your attack and defense.
  Type EQUIPMENT to see what you have equipped.",,,,,,,,,105,103,Empty weapon racks creak softly in the still air.,The walls feel cool and rough beneath the fingertips.,A faint metallic scent hangs near the armory's edges.,
105,10,Training Tower  -  Fifth Floor,"The air grows warmer. You hear growling from the shadows.

  Tip: Your four core stats  -  Vigor, Precision, Grit, Instinct  -  grow
  through combat. Take hits to build Grit. Land hits to build Precision.",,,,,,,,,106,104,The warmth here presses in like a silent breath.,Low growls echo from unseen shadows nearby.,The air carries a faint tang of iron and sweat.,
106,10,Training Tower  -  Sixth Floor,"A rest alcove with a stone bench and a water basin.

  Tip: Type REST to recover HP and Focus between fights.
  Safe rooms (marked with a flag) prevent combat.",,,,,,,,,107,105,The stone bench offers a smooth respite from the cold.,"Water ripples quietly in the basin, catching faint light.","The rest alcove feels calm, a pause from the tower’s heat.",
107,10,Training Tower  -  Seventh Floor,"Bones litter the floor. The walls are scratched with claw marks.

  Tip: Stronger enemies give more power. Fight things near your level
  for the best growth.",,,,,,,,,108,106,Bones lie scattered across the floor in grim disarray.,Deep claw marks scar the rough stone walls all around.,"A musty, heavy scent hangs thickly in the air here.",
108,10,Training Tower  -  Eighth Floor,"A narrow corridor with arrow slits in the walls. You feel watched.

  Tip: Some enemies are AGGRESSIVE and attack on sight.
  Others are passive  -  you choose when to fight them.",,,,,,,,,109,107,Narrow arrow slits frame shadowed views beyond the walls.,"An uneasy stillness settles, as if unseen eyes watch.",A faint breeze whispers through the corridor’s tight space.,
109,10,Training Tower  -  Ninth Floor,"A forge room. An anvil sits cold and unused, but the coals still glow faintly.

  Tip: Visit MERCHANTS to buy and sell gear. Type SHOP near one.
  The Bazaar in the Nexus has merchants.",,,,,,,,,110,108,Cold iron rests on the anvil beneath glowing embers.,The faint warmth of dying coals seeps into the air.,The faint scent of smoke lingers just beyond reach.,
110,10,Training Tower  -  Tenth Floor,"The stairwell widens into a dueling ring. Torches blaze on all sides.

  Tip: As you gain power, you'll unlock ABILITIES  -  special attacks
  that cost Focus. Type the ability name to use it in combat.",,,,,,,,,111,109,"Torches blaze brightly, casting flickering shadows wide.",The wide dueling ring feels charged with silent tension.,Heat from the flames warms the surrounding stone walls.,
111,10,Training Tower  -  Eleventh Floor,"Wind howls through open windows. You can see the Nexus far below.

  Tip: The BULLETIN BOARD in the Nexus offers quests.
  Complete quests to earn Quest Points for the Quest Shop.",,,,,,,,,112,110,Wind howls sharply through open windows overhead.,"Far below, the Nexus sprawls in muted colors and light.",The chill air carries a biting sharpness to the skin.,
112,10,Training Tower  -  Twelfth Floor,"A library of sorts. Dusty tomes line crumbling shelves.

  Tip: SAY things to NPCs  -  they respond to keywords like
  'hello', 'quest', 'help', 'buy', and 'lore'.",,,,,,,,,113,111,Dusty tomes line shelves crumbling with age and neglect.,The faint smell of old parchment fills the cramped space.,Quiet creaks of settling wood echo softly around.,
113,10,Training Tower  -  Thirteenth Floor,"The walls pulse with a faint red glow. Something powerful waits above.

  Tip: RECALL teleports you to your recall point (default: the Nexus).
  Type SET RECALL in a safe room to change it.",,,,,,,,,114,112,A faint red glow pulses softly from the walls.,Dust drifts down from the library below.,The warm hum of power rises from above.,Cool air seeps upward from the floor below.
114,10,Training Tower  -  Fourteenth Floor,"A meditation chamber. Incense burns in brass holders.

  Tip: The world beyond the Nexus is divided into themed zones.
  Each gateway leads to a different genre  -  fantasy, sci-fi, noir, and more.
  Explore them all, but beware: some zones are dangerous for the unprepared.",,,,,,,,,115,113,The scent of burning incense fills the air.,A faint red glow radiates from the floor below.,Soft chanting echoes up from the summit above.,Brass holders gleam dimly in the calm light.
115,10,Training Tower  -  Summit,"You stand at the top of the tower. The entire Nexus spreads below you, its six gateways glowing with different colors. A grizzled instructor leans against the parapet.

  'You've made it to the top. You're ready for the real world now.'
  'Head back down and explore the gateways. Your marble is out there somewhere.'",,,,,,,,,,114,The entire Nexus spreads out in glowing gateways below.,A faint trace of incense drifts up from the floor below.,Cold wind brushes past the stone parapet.,Distant voices murmur softly from the chamber below.
150,6,The Quest Shop,"A cozy alcove beneath the Bulletin Board. Shelves line every wall, packed with useful gear, rare consumables, and mysterious trinkets  -  all available for Quest Points.

A cheerful shopkeeper stands behind a counter cluttered with oddities.

  Type QUEST SHOP to browse. Type QUEST BUY <number> to purchase.",,,,,,,,,12,,The scent of aged parchment and herbs drifts softly from nearby shelves.,"Faint murmurs rise from above, where countless notices crowd the board.","Warm light spills gently, casting soft shadows on well-worn wooden shelves.","The air carries a faint crispness, touched by the scent of rare spices."
1001,7,Mountain Pass  -  Summit,The wind howls at this narrow pass between two peaks. Snow whips horizontally. The path descends south toward greener lands.,,2,1002,,,,1004,1003,,2,The shriek of eagles echoes from the rocky outcrop to the east.,Faint sunlight filters through leaves from the southeast forest clearing.,Mushrooms glow faintly in the darkness beyond the southwest forest.,A golden light pulses from below through the northern gateway arch.
1002,7,Eagle's Nest,A rocky outcrop where massive eagles nest. Bones of large animals litter the ground. The view stretches for miles.,,1005,,1001,,,1006,1004,,,Bones lie scattered beneath the watchful eyes of massive eagles.,Sunlight softens the wildflowers carpeting the forest clearing to the south.,Herbs dry quietly near the shallow cave to the southeast.,The rocky summit pass whispers with biting winds from the west.
1003,7,Dark Forest  -  Deep,Ancient trees block all sunlight. Mushrooms glow faintly on rotting logs. Something moves in the undergrowth.,,1008,1004,,1001,,1009,1007,,,Glowing mushrooms cast eerie light on rotting logs nearby.,A gentle stream trickles past the eastern rocky descent.,The narrow summit pass howls with wind from the northeast.,Rolling hills appear faintly beyond the thinning trees to the southwest.
1004,7,Mountain Pass  -  Descent,The rocky path winds downward through scrub brush. A stream trickles alongside.,1001,1009,1005,1003,1002,,1010,1008,,,The rocky path winds downward beside a softly trickling stream.,Sunlight breaks through the forest clearing to the east.,Trees shimmer faintly with inner light to the southeast.,Ancient trees block sunlight and muffled sounds come from the west.
1005,7,Forest Clearing,A break in the canopy lets sunlight through. Wildflowers carpet the ground. A stone circle stands in the center.,1002,1010,1006,1004,,1001,1011,1009,,,Wildflowers burst in color beneath a break in the canopy.,Massive eagle bones lie scattered on the rocky outcrop to the north.,Pixies dart between shimmering branches in the grove to the south.,The faint sound of a stream drifts from the rocky path to the west.
1006,7,Hermit's Cave,"A shallow cave with signs of habitation  -  a bedroll, dried herbs, a small fire pit.",,1011,,1005,,1002,1012,1010,,,Dried herbs hang quietly near a small fire pit.,Wildflowers carpet the clearing just to the west.,The distant echo of eagles cries drifts from the northwest outcrop.,A faint honeyed sweetness floats in from the shimmering grove to the southwest.
1007,7,Dark Forest  -  Western Edge,"The trees thin here, revealing rolling hills to the west. Claw marks scar the bark.",,1013,1008,,1003,,1014,,,,Trees thin to reveal rolling hills stretching westward.,Claw marks scar the bark of nearby gnarled trunks.,A wooden signpost creaks softly at the crossroads to the east.,Golden wheat fields sway gently beyond the southeast farmstead.
1008,7,Dark Forest  -  Crossroads,"Two paths cross here. A wooden signpost points in four directions, but the writing has faded.",1003,1014,1009,1007,1004,,1015,1013,,,Faded wooden signs offer cryptic directions under dense canopy.,Wheat fields ripple like waves to the south.,The dirt road hums faintly from the east.,Sheep graze quietly on the rolling hills to the southwest.
1009,7,Forest Road  -  North,A dirt road cuts through the forest. Cart tracks suggest regular traffic.,1004,1015,1010,1008,1005,1003,1016,1014,,,Cart tracks scar the well-traveled dirt road.,The scent of honeyed air drifts in from the shimmering grove to the east.,A large oak tree shades a quiet bench at the road's bend to the southeast.,Wheat fields whisper softly beyond the southwest farmstead.
1010,7,Enchanted Grove,The trees here shimmer with inner light. Pixies dart between branches. The air tastes like honey.,1005,1016,1011,1009,1006,1004,1017,1015,,,Trees shimmer softly with an inner luminescence.,Pixies flit like sparks between glowing branches.,Sunlight filters through the clearing to the north.,The distant broken wheel of a mill creaks faintly to the east.
1011,7,Abandoned Mill,A watermill sits beside a dry streambed. The wheel is broken. Grain sacks rot inside.,1006,1017,1012,1010,,1005,1018,1016,,,The broken watermill wheel groans quietly beside the dry streambed.,Faint smoke rises from a small fire pit in the cave to the north.,Wildflowers sway gently in the clearing to the northwest.,The scent of honey lingers from the shimmering grove to the west.
1012,7,Bandit Camp  -  Outskirts,Trampled ground and old campfires. Someone has been living here recently.,,1018,,1011,,1006,1019,1017,,,"Trampled earth bears the marks of recent, restless visitors.",Old campfires smolder faintly in the cool air.,The shallow cave to the northwest holds quiet signs of habitation.,"A narrow rocky path winds off to the southwest, silent and less traveled."
1013,7,Rolling Hills  -  West,Green hills stretch westward under a grey sky. Sheep graze in the distance.,1007,,1014,,1008,,1020,,,,Grey clouds hang low above the endless green hills to the west.,Distant sheep bleat softly under the watching gaze of thinning trees.,Claw marks mar the bark north where forest meets open land.,A faded wooden signpost points from the forest crossroads northeast.
1014,7,Farmstead  -  Fields,Wheat fields sway in the breeze. A scarecrow watches with button eyes.,1008,1020,1015,1013,1009,1007,1021,,,,Wheat stalks ripple gently in the breeze from the surrounding fields.,Button-eyed scarecrow stands sentinel beside the rolling western hills.,Faint sounds of guards echo east near the massive stone gatehouse.,Paths meet at the crossroads to the north where faded signs lean.
1015,7,King's Road  -  North Gate,"The cobblestone road leads to a massive stone gatehouse. Guards in silver tabards check travelers. The trees here are bent outward in a perfect circle, their bark scorched and glassy. At the center, the grass has been burned away to reveal a perfectly smooth crater in the earth.",1009,1021,1016,1014,1125,1008,1022,1020,,,"Scorched trees form a perfect circle, their bark glassy and blackened.",Shattered stones and scattered parchments lie beyond the gate to the north.,Silver-tabarded guards murmur as travelers pass beneath the gatehouse.,"Golden light shimmers from the enchanted grove northeast, sweet as honey."
1016,7,King's Road  -  Bend,The road curves here around a large oak tree. A bench sits beneath it.,1010,1022,1017,1015,1011,1009,1023,1021,,,The oak tree’s broad shadow cools the curved road beneath its boughs.,Soft honeyed air drifts south from the glowing trees of the enchanted grove.,A worn bench invites stillness beneath the gentle sway of leaves.,Broken grain sacks rot quietly in the abandoned mill northeast.
1017,7,Eastern Trail,A narrow path winds eastward through rocky terrain. It looks less traveled.,1011,1023,1018,1016,1012,1010,1024,1022,,,"Rocky terrain frames the narrow, seldom-used path winding eastward.",The faint clang of metal drifts up from smiths along the nearby streets.,Dry streambed groans quietly beside the watermill to the north.,A warm hearth's smell wafts up from the tavern southwest along the trail.
1018,7,Bandit Camp  -  Center,A ring of tents surrounds a large fire pit. Stolen goods are piled carelessly.,1012,1024,1019,1017,,1011,,1023,,,Tents circle the fire pit where shadows dance in flickering embers.,Trampled earth and cold ashes mark the outskirts to the north.,Faint bubbling and strange scents rise from the alchemist’s nearby shop.,Plans and maps rustle softly in the larger tent to the east.
1019,7,Bandit Camp  -  Leader's Tent,A larger tent with a crude throne made of shields. Maps and plans are pinned to a board.,,,,1018,,1012,,1024,,,Crude shields form a throne that creaks beneath the weight of secrets.,Old campfires smolder faintly northwest amid trampled ground.,The distant call of archers echoes softly from the eastern wall below.,Maps pinned to the board whisper of plots and stolen glories.
1020,7,Town Square  -  North,The northern edge of the town square. A fountain depicts a knight slaying a dragon.,1014,1026,1021,,1015,1013,1027,1025,,,"Stone fountain water laps quietly, shaped like a knight and dragon.",Golden wheat waves gently north where fields stretch beneath grey skies.,"Noble houses line the avenue to the east, their windows glinting.",Soft lute music drifts up from the busy market street to the south.
1021,7,Castle Street,A wide avenue leading toward the castle. Noble houses line both sides.,1015,1027,1022,1020,1016,1014,1028,1026,,,"Tall noble houses stand silent, their windows watching the wide avenue.",The distant clang of metal forges echoes faintly southeast along the street.,Faint breath of wheat fields drifts in from the northwest farmstead.,"Guards patrol the massive gatehouse to the north, voices muted."
1022,7,The Prancing Pony Inn,A warm tavern with a roaring fire. The smell of ale and roasting meat fills the air.,1016,1028,1023,1021,1017,1015,1029,1027,,,"Warm firelight flickers behind windows, mingling with smells of roasting meat.",Soft chants float up faintly from the temple southeast beyond the street.,A quiet bench rests beneath a large oak tree to the north along the road.,"Noble houses stand tall westward, their shadows pooling on the cobblestones."
1023,7,Alchemist's Shop,Bubbling vials and strange smells. The alchemist peers at you through thick spectacles.,1017,1029,1024,1022,1018,1016,1030,1028,,,"Strange, sweet smells mingle with bubbling sounds from scattered vials.",Cold iron gate creaks faintly southeast where the misty graveyard waits.,Distant clang of metal and voices rise softly southwest from the market.,The warm hearth’s smoke drifts through the tavern westward on the breeze.
1024,7,Eastern Wall  -  Tower,A guard tower built into the town wall. Archers watch the eastern approach.,1018,1030,,1023,1019,1017,,1029,,,Archer’s calls and clinking armor echo faintly above the eastern approach.,Soft chanting whispers up from the white stone temple to the southwest.,"Iron gate hangs slightly ajar to the south, creaking in the cold wind.",Alchemical scents swirl on the breeze from the bubbling shop to the west.
1025,7,Western Gate,"The western gate of the town. Less grand than the north gate, used mainly by farmers.",,,1026,,1020,,1031,,,,The distant lute strings drift softly from Market Street to the east.,Faint laughter of children reaches from the nearby residential street.,The stone fountain's cool spray sparkles just northeast in the square.,
1026,7,Market Street  -  West,"Vendors sell vegetables, cloth, and pottery. A bard plays a lute on the corner.",1020,1031,1027,1025,1021,,1032,,,,The bard's lute weaves gentle melodies from the western gate.,Fresh vegetables and pottery scents mingle with soft street chatter.,"From the north, the knight and dragon fountain gleam under sunlight.",Children's voices echo faintly from the homes to the south.
1027,7,Town Square  -  Center,The heart of the town. A large notice board stands here. Citizens go about their business.,1021,1032,1028,1026,1022,1020,1033,1031,,,The clang of hammer on metal echoes from the eastern weapon smiths.,"A bard's lute drifts in from the west, mixing with marketplace scents.",Soft splashes come from the knight and dragon fountain to the north.,The warm glow of firelight flickers northeast from the inn.
1028,7,Market Street  -  East,Weapon smiths and leather workers ply their trade here. The clang of metal rings out.,1022,1033,1029,1027,1023,1021,1034,1032,,,Metal clangs ring sharply from the smiths and leather workers to the west.,The rich aroma of roasting meat floats up from the tavern to the northwest.,Soft chanting drifts down from the white stone temple to the east.,"A damp, smoky smell curls faintly from Thieves' Alley to the southeast."
1029,7,Temple of the Dawn,A white stone temple with stained glass windows. Soft chanting echoes within.,1023,1034,1030,1028,1024,1022,1035,1033,,,Soft chanting echoes through the stained glass halls of the temple.,The pungent odors of bubbling potions drift down from the alchemist northward.,"Beyond the gate to the east, mist clings to weathered stones.",The distant roar of tavern fires blends with rough voices southwest.
1030,7,Graveyard  -  Gate,An iron gate leads into a misty graveyard. The hinges creak ominously.,1024,1035,,1029,,1023,1036,1034,,,"The iron gate creaks softly, swaying in the misty graveyard air.",Cold stone guard tower looms just above to the north.,Faint scratching noises crawl from the sealed mausoleum to the southeast.,The smell of refuse drifts faintly from a dark alley to the southwest.
1031,7,Residential  -  West,Modest homes with thatched roofs. Children play in the street.,1026,1038,1032,,1027,1025,1039,1037,,,Children's laughter drifts softly from the nearby thatched homes to the east.,The steady cadence of soldiers' drills echoes faintly southeastward.,"Warm hay scents rise from the barn, just to the southwest.",The lute's gentle chords float down from Market Street to the north.
1032,7,Town Square  -  South,"The southern edge of the square. A stocks stands here, currently empty.",1027,1039,1033,1031,1028,1026,1040,1038,,,"Empty stocks stand silent, shadows stretching across the square.",The clang of metal rings out faintly from smiths to the northeast.,Soldiers' rhythmic marching echoes softly from the castle to the south.,Children's distant play drifts quietly from homes to the west.
1033,7,The Rusty Nail  -  Tavern,A rougher establishment. The clientele look like they'd stab you for a copper.,1028,1040,1034,1032,1029,1027,1041,1039,,,The raucous murmur of rough patrons seeps through cracked tavern walls.,The sharp clang of smithies rises faintly from Market Street to the north.,Smoke and ale scents mingle with the soft chanting from the temple northeast.,The castle's looming keep casts a shadow far to the southeast.
1034,7,Thieves' Alley,A narrow passage between buildings. It smells of refuse. Eyes watch from the shadows.,1029,1041,1035,1033,1030,1028,1042,1040,,,"The narrow alley smells sour, thick with refuse and watching eyes.",Soft chanting drifts down faintly from the temple just to the north.,"Stone stairs descend into dark, damp depths down and southeast.","From the west, the tavern's rough voices murmur through cracked doors."
1035,7,Graveyard  -  Interior,Headstones lean at odd angles. Fog clings to the ground. A mausoleum stands at the back.,1030,1042,1036,1034,,1029,,1041,,,"Fog clings low, curling softly around lopsided headstones.","The iron gate creaks faintly to the north, swaying in cold mist.","A heavy stone mausoleum stands silent, yet scratching sounds echo within.",The distant clamor of a great hall murmurs low from the southwest.
1036,7,Graveyard  -  Mausoleum,A stone building sealed with a heavy door. Scratching sounds come from within.,,,,1035,,1030,,1042,,,"Heavy stone walls seal this mausoleum, shadows twisting inside.",A faint creak from the iron gate drifts through the mist to the northwest.,"Damp, musty air rises from the dungeon entrance down to the southwest.",
1037,7,Farmstead  -  Barn,A large barn filled with hay. Animals shift nervously in their stalls.,,,1038,,1031,,1043,,,,Sweet hay mingles with the faint stir of restless animals nearby.,Children's laughter drifts faintly from the northeast street.,Mountains rise distant beyond the open plains to the southeast.,The hum of wagons and traders filters in from the eastern gate.
1038,7,South Gate,The southern gate opens onto the King's Road heading south. Trade caravans wait here.,1031,1043,1039,1037,1032,,1044,,,,The shuffle of hooves and low animal murmurs come from the west.,Voices and play echo softly from homes to the north.,A steady flow of travelers and caravans spreads along the southern road.,The sharp clang of armor echoes faintly from the eastern courtyard.
1039,7,Castle  -  Outer Ward,The castle's outer courtyard. Soldiers drill in formation. Stables line the west wall.,1032,1044,1040,1038,1033,1031,1045,1043,,,Soldiers' precise footsteps beat a steady rhythm across the courtyard.,Stable scents of hay and horses drift from the west wall.,The distant murmur of tavern voices filters through from the northeast.,Mountains loom faintly beyond the southern road under a wide sky.
